userId,movieId,tag,timestamp,movie_idx
2,60756,funny,1445714994,1952
2,60756,highly quotable,1445714996,1952
2,60756,will ferrell,1445714992,1952
2,89774,boxing story,1445715207,2096
2,89774,mma,1445715200,2096
2,89774,tom hardy,1445715205,2096
2,106782,drugs,1445715054,2172
2,106782,leonardo dicaprio,1445715051,2172
2,106782,martin scorsese,1445715056,2172
7,48516,way too long,1169687325,1840
18,431,al pacino,1462138765,211
18,431,gangster,1462138749,211
18,431,mafia,1462138755,211
18,1221,al pacino,1461699306,488
18,1221,mafia,1461699303,488
18,5995,holocaust,1455735472,1535
18,5995,true story,1455735479,1535
18,44665,twist ending,1456948283,1800
18,52604,anthony hopkins,1457650696,1870
18,52604,courtroom drama,1457650711,1870
18,52604,twist ending,1457650682,1870
21,1569,romantic comedy,1419805413,631
21,1569,wedding,1419805419,631
21,119141,bloody,1419793962,2215
49,109487,black hole,1493093306,2181
49,109487,sci fi,1493093332,2181
49,109487,time travel,1493093356,2181
62,2,fantasy,1528843929,1
62,2,magic board game,1528843932,1
62,2,robin williams,1528843907,1
62,110,beautiful scenery,1528152541,59
62,110,epic,1528152532,59
62,110,historical,1528152523,59
62,110,inspirational,1528152527,59
62,110,medieval,1528152528,59
62,110,mel gibson,1528152521,59
62,110,oscar (best cinematography),1528152539,59
62,110,revenge,1528152531,59
62,110,sword fight,1528152535,59
62,410,black comedy,1525636607,200
62,410,christina ricci,1525636685,200
62,410,christopher lloyd,1525636622,200
62,410,dark comedy,1525636610,200
62,410,family,1525636708,200
62,410,gothic,1525636609,200
62,2023,al pacino,1525636728,765
62,2023,andy garcia,1525636768,765
62,2023,classic,1525636752,765
62,2023,francis ford coppola,1525636752,765
62,2023,mafia,1525636733,765
62,2124,black comedy,1525636847,805
62,2124,christina ricci,1525636867,805
62,2124,christopher lloyd,1525636859,805
62,2124,family,1525636855,805
62,2124,gothic,1525636849,805
62,2124,quirky,1525636846,805
62,2953,family,1525636883,1054
62,2953,funny,1525636885,1054
